Title,Url,Code Link,Confidence,Year
Domain-Adaptive Pretraining Improves Primate Behavior Recognition,https://arxiv.org/abs/2509.12193v1,https://github.com/ecker-lab/dap-behavior,high,2509
CryptoFace: End-to-End Encrypted Face Recognition,https://arxiv.org/abs/2509.00332v1,https://github.com/human-analysis/cryptoface,high,2509
MedErr-CT: A Visual Question Answering Benchmark for Identifying and Correcting Errors in CT Reports,https://arxiv.org/abs/2506.19217v1,https://github.com/babbu3682/mederr-ct,high,2506
SmartHome-Bench: A Comprehensive Benchmark for Video Anomaly Detection in Smart Homes Using Multi-Modal Large Language Models,https://arxiv.org/abs/2506.12992v1,https://github.com/xinyi-0724/smarthome-bench-llm,high,2506
DejaVid: Encoder-Agnostic Learned Temporal Matching for Video Classification,https://arxiv.org/abs/2506.12585v1,https://github.com/darrylho/dejavid,high,2506
HalLoc: Token-level Localization of Hallucinations for Vision Language Models,https://arxiv.org/abs/2506.10286v1,https://github.com/dbsltm/cvpr25_halloc,medium,2506
ScaleLSD: Scalable Deep Line Segment Detection Streamlined,https://arxiv.org/abs/2506.09369v1,https://github.com/ant-research/scalelsd,high,2506
DeformCL: Learning Deformable Centerline Representation for Vessel Extraction in 3D Medical Image,https://arxiv.org/abs/2506.05820v1,https://github.com/barry664/deformcl,high,2506
"Video, How Do Your Tokens Merge?",https://arxiv.org/abs/2506.03885v1,https://github.com/sjpollard/video-how-do-your-tokens-merge,medium,2506
Attacking Attention of Foundation Models Disrupts Downstream Tasks,https://arxiv.org/abs/2506.05394v3,https://github.com/hondamunigeprasannasilva/attack-attention,medium,2506
Technical Report for Ego4D Long-Term Action Anticipation Challenge 2025,https://arxiv.org/abs/2506.02550v2,https://github.com/corrineqiu/ego4d-lta-challenge-2025,medium,2506
Towards In-the-wild 3D Plane Reconstruction from a Single Image,https://arxiv.org/abs/2506.02493v1,https://github.com/jcliu0428/zeroplane,high,2506
Perceptual Inductive Bias Is What You Need Before Contrastive Learning,https://arxiv.org/abs/2506.01201v2,https://github.com/juz031/midvcl,medium,2506
PCIE_Interaction Solution for Ego4D Social Interaction Challenge,https://arxiv.org/abs/2505.24404v1,https://github.com/kanokphanl/pcie_ego4d_social_interaction,medium,2505
Boosting Domain Incremental Learning: Selecting the Optimal Parameters is All You Need,https://arxiv.org/abs/2505.23744v1,https://github.com/qwangcv/soyo,high,2505
Synthetic Generation and Latent Projection Denoising of Rim Lesions in Multiple Sclerosis,https://arxiv.org/abs/2505.23353v1,https://github.com/agr78/prlx-gan,high,2505
Point-to-Region Loss for Semi-Supervised Point-Based Crowd Counting,https://arxiv.org/abs/2505.21943v1,https://github.com/elin24/p2rloss,medium,2505
Roboflow100-VL: A Multi-Domain Object Detection Benchmark for Vision-Language Models,https://arxiv.org/abs/2505.20612v4,https://github.com/roboflow/rf100-vl,high,2505
PoseBH: Prototypical Multi-Dataset Training Beyond Human Pose Estimation,https://arxiv.org/abs/2505.17475v1,https://github.com/uyoung-jeong/posebh,medium,2505
Open Set Label Shift with Test Time Out-of-Distribution Reference,https://arxiv.org/abs/2505.05868v1,https://github.com/changkunye/opensetlabelshift,medium,2505
DiGIT: Multi-Dilated Gated Encoder and Central-Adjacent Region Integrated Decoder for Temporal Action Detection Transformer,https://arxiv.org/abs/2505.05711v1,https://github.com/dotori-hj/digit,high,2505
CAV-MAE Sync: Improving Contrastive Audio-Visual Mask Autoencoders via Fine-Grained Alignment,https://arxiv.org/abs/2505.01237v2,https://github.com/edsonroteia/cav-mae-sync,medium,2505
Classifier-to-Bias: Toward Unsupervised Automatic Bias Detection for Visual Classifiers,https://arxiv.org/abs/2504.20902v1,https://github.com/mardgui/c2b,high,2504
SSL4Eco: A Global Seasonal Dataset for Geospatial Foundation Models in Ecology,https://arxiv.org/abs/2504.18256v3,https://github.com/plekhanovaelena/ssl4eco,medium,2504
Medal S: Spatio-Textual Prompt Model for Medical Segmentation,https://arxiv.org/abs/2511.13001v1,https://github.com/yinghemedical/medal-s,medium,2511
Rethinking Query-based Transformer for Continual Image Segmentation,https://arxiv.org/abs/2507.07831v1,https://github.com/soolab/simcis,medium,2507
Object-aware Sound Source Localization via Audio-Visual Scene Understanding,https://arxiv.org/abs/2506.18557v2,https://github.com/visualaikhu/oa-ssl,medium,2506
DejaVid: Encoder-Agnostic Learned Temporal Matching for Video Classification,https://arxiv.org/abs/2506.12585v1,https://github.com/darrylho/dejavid,medium,2506
"DiscoVLA: Discrepancy Reduction in Vision, Language, and Alignment for Parameter-Efficient Video-Text Retrieval",https://arxiv.org/abs/2506.08887v1,https://github.com/lunarshen/dsicovla,high,2506
DeformCL: Learning Deformable Centerline Representation for Vessel Extraction in 3D Medical Image,https://arxiv.org/abs/2506.05820v1,https://github.com/barry664/deformcl,high,2506
OV-COAST: Cost Aggregation with Optimal Transport for Open-Vocabulary Semantic Segmentation,https://arxiv.org/abs/2506.03706v1,https://github.com/adityagandhamal/ov-coast,medium,2506
Self-Supervised Spatial Correspondence Across Modalities,https://arxiv.org/abs/2506.03148v1,https://github.com/ayshrv/cmrw,medium,2506
Diff2Flow: Training Flow Matching Models via Diffusion Model Alignment,https://arxiv.org/abs/2506.02221v1,https://github.com/compvis/diff2flow,high,2506
Period-LLM: Extending the Periodic Capability of Multimodal Large Language Model,https://arxiv.org/abs/2505.24476v1,https://github.com/keke-nice/period-llm,medium,2505
Roboflow100-VL: A Multi-Domain Object Detection Benchmark for Vision-Language Models,https://arxiv.org/abs/2505.20612v4,https://github.com/roboflow/rf100-vl,medium,2505
Towards Video to Piano Music Generation with Chain-of-Perform Support Benchmarks,https://arxiv.org/abs/2505.20038v1,https://github.com/acappemin/video-to-audio-and-piano,medium,2505
DiGIT: Multi-Dilated Gated Encoder and Central-Adjacent Region Integrated Decoder for Temporal Action Detection Transformer,https://arxiv.org/abs/2505.05711v1,https://github.com/dotori-hj/digit,medium,2505
Object-Shot Enhanced Grounding Network for Egocentric Video,https://arxiv.org/abs/2505.04270v1,https://github.com/yisen-feng/osgnet,medium,2505
CAV-MAE Sync: Improving Contrastive Audio-Visual Mask Autoencoders via Fine-Grained Alignment,https://arxiv.org/abs/2505.01237v2,https://github.com/edsonroteia/cav-mae-sync,high,2505
